Startup_Name,Industry_Vertical,City_Location,Investors_Name,Investment_Type,Amount_In_USD
Glowroad,Consumer Internet,Bangalore,"Accel Partners,",Private Equity,2000000.00
OYO Rooms,Consumer Internet,Gurgaon,China Lodging Group,Private Equity,10000000.00
Unacademy,Consumer Internet,Mumbai,"Sequoia Capital India, SAIF Partners, Nexus Venture Partners and Blume Ventures,",Private Equity,11500000.00
Heterogenous,Technology,Chennai,"Chennai Angels, Keiretsu Forum & Others",Seed Funding,780000.00
Gurukul,Consumer Internet,New Delhi,"Rohit Nanda, Rajit Nanda, Smarak Bhuyan, Sashwat Brahma,",Seed Funding,0.00
Smaaash,Technology,Mumbai,ECL Finance,Private Equity,44000000.00
WheelStreet,Consumer Portal,Bangalore,Y Combinator,Seed Funding,120000.00
Xprep,Consumer Internet,New Delhi,"Rising Stars, Manish Amin, Pallav Pandey, Chavi Jafa",Private Equity,0.00
The Moms Co,eCommerce,Gurgaon,"DSG Consumer Partners, Saama Capital",Private Equity,1000000.00
Noticeboard,Technology,Bangalore,"Shamik Sharma, Aprameya Radhakrishna",Seed Funding,0.00
High Radius,Technology,Hyderabad,Susquehanna Growth Equity LLC,Private Equity,50000000.00
HWell24 Plus,Healthcare,Mumbai,Undisclosed Investors,Seed Funding,0.00
SaveBC,Finance,Gaya,Incofin Investment Management.,Private Equity,6000000.00
Gaming Monk,Consumer Internet,New Delhi,AdvantEdge,Private Equity,0.00
91SpringBoard,Consumer Internet,New Delhi,"Sandway Investment Ltd, Pearl Brook Holdings, Silo Holdings and Al Nour",Private Equity,0.00
Homergize,eCommerce,Bangalore,LG Chandrasekhar,Private Equity,1000000.00
Yatra.com,eCommerce,Gurgaon,InnoVen Capital India,Debt Funding,15400000.00
Ace Turtle,Technology,Bangalore,InnoVen Capital,Private Equity,0.00
Vogo,Consumer Internet,Bangalore,AV Thomas Group,Seed Funding,0.00
Synup,Technology,Bangalore,"Vertex Ventures, Prime Venture Partners.",Private Equity,6000000.00
Tinmen,Consumer Internet,Hyderabad,Zomato Media Pvt. Ltd,Private Equity,0.00
Cropin,Technology,Bangalore,Beenext,Private Equity,0.00
Rapido,Consumer Internet,Bangalore,Battery Road Digital Holdings LLC,Seed Funding,422000.00
Sportobuddy,Consumer Internet,Mumbai,Mehul Shah,Seed Funding,150000.00
Credifiable,Consumer Internet,Bangalore,Kae Capital,Private Equity,0.00
Inclov,Consumer Internet,Gurgaon,"Rajan Anandan, Jamil Khatri, Ravi Iyer, Raghav Bahl",Seed Funding,0.00
Multibhashi,Consumer Internet,Bangalore,"Aniruddha Malpani, Startup Oasis",Seed Funding,0.00
Transerve,Technology,Mumbai,"IL&FS Investment Managers, Omidyar Network.",Private Equity,1600000.00
Fashalot,Consumer Internet,Gurgaon,"Capillary Technologies, Whiteboard Capital, YourNest Angel Fund, Rajul Garg",Private Equity,0.00
Pitstop,Consumer Internet,Bangalore,"Blume Ventures, Goldbell Group, Anurag Srivastava, Shailesh Rao, Amiya Pathak, Rajesh Yohanan and Rahul Garg",Private Equity,1000000.00
GoChoppers,Consumer Internet,Gurgaon,"Rivergate Capital,",Seed Funding,0.00
MyUpchar,Consumer Internet,New Delhi,LetsVenture,Seed Funding,300000.00
Aadyah,Technology,Bangalore,Keiretsu Forum,Private Equity,1000000.00
TouchKin,Technology,Bangalore,Kae Capital,Private Equity,1300000.00
Ethinos,Technology,Mumbai,Triton Investment Advisors,Private Equity,0.00
Leverage Edu,Consumer Internet,New Delhi,"Kashyap Deorah, Anand Sankeshwar, Deepak Jain, Sadashiva NT, Arjun Mehta, Satish Kaul, Anindya Ghose",Seed Funding,0.00
Zepo,Consumer Internet,Mumbai,"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal",Seed Funding,500000.00
Click2Clinic,Consumer Internet,Hyderabad,"Narottam Thudi, Shireesh Palle",Seed Funding,850000.00
SpeedBox,Logistics,Mumbai,Cismat Cargo Services Pvt. Ltd.,Seed Funding,300000.00
Skill Connect,Consumer Internet,Jaipur,Rajasthan Angel Investor Network,Seed Funding,0.00
Chai Point,Consumer Internet,Bangalore,"DSG Consumer Partners, Eight Roads Ventures India",Private Equity,0.00
Zoctr,Consumer Internet,Mumbai,SIDBI,Private Equity,0.00
Lime Tray,Technology,New Delhi,JSW Ventures,Private Equity,0.00
CoutLoot,eCommerce,Mumbai,"Anuj Puri, Redcliffe Capital, Artha India Ventures, Siddharth Kothari, Apoorv Ranjan Sharma,",Seed Funding,0.00
Box My Space,Logistics,Mumbai,"R. Jayakumar, Vaibhav Vohra, Aditya Vazirani, Rhea Vazirani, AVN Business Solutions, Dreamweaver Investments",Seed Funding,0.00
Curatio,Healthcare,Chennai,Anicut Capital,Private Equity,0.00
New Castle Technologies,Technology,Chennai,Undisclosed investors,Seed Funding,243000.00
My Forex Eye,Consumer Internet,New Delhi,"Rahul Dev Kumar, Rajesh Mahajan, Ankit Sharma and others",Seed Funding,220000.00
TruxApp,Logistics,New Delhi,"Venugopal Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian family & Others",Seed Funding,3100000.00
CroFarm,Technology,Gurgaon,Factor[e] Ventures,Seed Funding,783000.00
DoodhWala,Consumer Internet,Bangalore,Tom Varkey,Seed Funding,0.00
Stayabode,Consumer Internet,Bangalore,"Incubate Fund, Sanjay Shenoy, Mridul Upreti,",Private Equity,0.00
Flipkart,eCommerce,Bangalore,Softbank,Private Equity,2500000000.00
Moong Labs,Technology,New Delhi,Nazara Games,Private Equity,0.00
Ola Cabs,Consumer Internet,Gurgaon,Tekne Capital Management,Private Equity,36000000.00
Sports Flashes,Consumer Internet,New Delhi,"Bennett, Coleman and Company Ltd (BCCL),",Private Equity,0.00
Digilend,Technology,Mumbai,"InCred Finance, Fullerton India Credit Company Ltd",Seed Funding,312000.00
KNAB Finance,Consumer Internet,Bangalore,"InCred, Krishnakumar Natarajan, Ravi Bhardwaj",Seed Funding,385000.00
Get Simpl,Consumer Internet,Mumbai,"Green Visor Capital LP II, IA Venture Strategies Fund II LP, Boillot Family Trust, Russell M Byrne, The Oliver R. Grace, Jr. Millennium Trust, SF Capital Investments LP",Seed Funding,0.00
Rootefy,eCommerce,New Delhi,"Abhinav Gupta,",Seed Funding,187000.00
Uniphore,Technology,Chennai,IDG Ventures,Private Equity,6800000.00
Cerebroz,Consumer Internet,Vadodara,Undisclosed HNI\\xe2\\x80\\x99s,Seed Funding,734000.00
Flochat,Consumer Internet,Mumbai,"iSquare Global,",Seed Funding,0.00
EasyGov,Consumer Internet,Noida,"Social Alpha, Rajan Anandan, Rajeev Ahuja, Kshitij Arora",Seed Funding,0.00
Milk Basket,Consumer Internet,Gurgaon,Blume Ventures. Lenovo Capital and Incubator Group (LCIG),Seed Funding,0.00
Dhruva,Technology,Pune,"Riverwood Capital, Sequoia Capital India, Nexus Venture Partners, Tenaya Capital",Private Equity,80000000.00
Bombay Shaving Company,eCommerce,New Delhi,Fireside Ventures,Private Equity,2300000.00
Awign,Technology,Bangalore,"IIT Ropar, Imanpreet Singh Arora, Sidharth Rozario, Saurabh Abichandani, Shikhar Gupta,",Seed Funding,0.00
Indiez,Technology,Bangalore,Haresh Chawla,Seed Funding,500000.00
Ezetap,Technology,Bangalore,"JS Capital Management, Social Capital, Horizons Ventures,",Private Equity,16000000.00
Ink Monk,Consumer Internet,Chennai,"VAMM Ventures, Raksul, Dena",Seed Funding,750000.00
Medinfi,Consumer Internet,Bangalore,"PBS Srinivas, Vinod Martin,",Seed Funding,125000.00
Mobikon,Technology,Pune,"Sistema Asia Fund, C31 Ventures, Qualgro.",Private Equity,7000000.00
CureFit,Consumer Internet,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital, UC-RNT fund",Private Equity,25000000.00
Doxper,Technology,Mumbai,"idal Health, growx ventures, Capier Investments, Globevestor & others",Seed Funding,750000.00
Fieldassist,Technology,Gurgaon,Small Industries Development Bank of India (SIDBI),Debt Funding,0.00
Treebo,Consumer Internet,Bangalore,"Ward Ferry Management and Karst Peak Capital,",Private Equity,34000000.00
MedGenome,Technology,Bangalore,"Sequoia India, Sofina s.a., Zodius Capital, Kris Gopalakrishnan, Lakshmi Narayanan,",Private Equity,30000000.00
Billion Loans,Consumer Internet,Bangalore,Reliance Corporate Advisory Services Ltd,Seed Funding,1000000.00
Ecolibriumenergy,Technology,Ahmedabad,"Infuse Ventures, JLL",Private Equity,2600000.00
Droom,eCommerce,Gurgaon,"Asset Management (Asia) Ltd, Digital Garage Inc",Private Equity,20000000.00
Jumbotail,eCommerce,Bangalore,"Kalaari Capital, Nexus India Capital Advisors",Private Equity,8500000.00
Moglix,eCommerce,Noida,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway",Private Equity,12000000.00
Timesaverz,Consumer Internet,Mumbai,BCCL,Private Equity,1000000.00
Minjar,Technology,Bangalore,"Blume Ventures, Contrarian Capital India Partners, Emergent Ventures India, Pallav Nadhani, Ashish Gupta, Sharad Sharma, Sirion Labs",Seed Funding,0.00
MyCity4kids,Consumer Internet,Gurgaon,PayU & Others,Seed Funding,0.00
Clip App,Consumer Internet,Bangalore,"India Quotient, Shunwei Capital",Seed Funding,1000000.00
Upwardly.in,Consumer Internet,Bangalore,"Sreeram Iyer, Suvo Sarkar, Anita Gupta, Likemind Ventures",Seed Funding,0.00
Autorox.co,Technology,Hyderabad,Mitsui & Co.,Private Equity,3000000.00
Fabogo,Consumer Internet,Pune,Dunamis Ventures Pte Ltd,Private Equity,2250000.00
Flickstree,Consumer Internet,Mumbai,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",Seed Funding,464000.00
Design Cafe,Consumer Internet,Bangalore,"Fireside Ventures, Apurva Salarpuria, Sidharth Pansari, Sprout Capital",Seed Funding,0.00
Innoviti,Technology,Bangalore,"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures",Private Equity,18500000.00
VDeliver,Logistics,Hyderabad,"Corvus Ventures, MAPE Advisory Group",Private Equity,0.00
Bottr.me,Technology,Bangalore,"500 Startups, Purvi Capital, Rajan Anandan, Abhishek Gupta",Seed Funding,0.00
Arcatron,Technology,Pune,Indian Angel Network,Seed Funding,0.00
QwikSpec,Technology,Bangalore,"Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen",Seed Funding,540000.00
Chumbak,eCommerce,Bangalore,Blacksoil Capital Pvt. Ltd,Private Equity,1700000.00
Increff,Technology,Bangalore,"Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das",Seed Funding,2000000.00
Vayana,Technology,Pune,"IDG Ventures India Advisors, Jungle Ventures",Private Equity,4000000.00
MObiquest,Technology,Noida,One97 Communication Ltd,Private Equity,0.00
Ambee,Consumer Internet,Hyderabad,"Uber Technologies Inc, Amaya Capital LLP",Seed Funding,0.00
Ideal Insurance,Consumer Internet,Kolkata,Xelpmoc,Seed Funding,0.00
Hypernova Interactive,Technology,Bangalore,Kae Capital,Seed Funding,0.00
Rentomojo,Consumer Internet,Bangalore,"ain Capital Ventures, Renaud Laplanche",Private Equity,10000000.00
AirCTO,Consumer Internet,Bangalore,Francesco Cara,Seed Funding,0.00
Playablo,Technology,Bangalore,ABI-Showatech (India) Ltd,Seed Funding,600000.00
Trupay,Technology,Gurgaon,"Kae Capital, M&S Partners,",Seed Funding,700000.00
Brick2Wall,eCommerce,Gurgaon,"Subramani Somasundaram, Sundeep Sahni, Mayank Mittal & Others",Seed Funding,200000.00
FableStreet,eCommerce,New Delhi,"Harmeet Bajaj, Pameela P, Fusiontech Ventures & Others",Seed Funding,0.00
Monsoon Fintech,Technology,New Delhi,"Sunil Kalra, Aditya Singh, Rishi Srivastava, Rajan Anandan",Seed Funding,0.00
MonkeyBox,Consumer Internet,Bangalore,"Blume Ventures, NB Ventures, Nspira",Seed Funding,0.00
Noticeboard,Consumer Internet,Bangalore,"Stellaris Venture Partners,",Private Equity,1200000.00
Byju\\xe2\\x80\\x99s,Consumer Internet,Bangalore,Tencent Holdings,Private Equity,35000000.00
Creator\\xe2\\x80\\x99s Gurukul,Others,New Delhi,Yuvraj Singh,Seed Funding,0.00
Fab Hotels,Consumer Internet,New Delhi,Goldman Sachs,Private Equity,25000000.00
ThinkerBell,Consumer Internet,Bangalore,"Indian Angel Network, Anand Mahindra",Seed Funding,200000.00
1mg,eCommerce,Gurgaon,"HBM Healthcare Investments, Maverick Capital Ventures, Sequoia India, Omidyar Network and Kae Capital",Private Equity,15000000.00
Jhakaas,Consumer Internet,Mumbai,Amen Dhyllon,Seed Funding,0.00
BigStylist,Consumer Internet,Mumbai,Info Edge (India) Ltd,Private Equity,1250000.00
Gympik.com,Consumer Internet,Bangalore,RoundGlass Partners,Seed Funding,0.00
Tripeur,Technology,Bangalore,"Grace Grace Techno Ventures LLP, Rajul Garg & Other undisclosed investors",Seed Funding,0.00
RentOnGo,eCommerce,Bangalore,TVS Motor Company,Seed Funding,234000.00
Goomo,Consumer Internet,Mumbai,Emerging India,Private Equity,50000000.00
MaxMyWealth,Consumer Internet,Mumbai,"lockchain ecosystem Global Advisors, Horseferry",Private Equity,0.00
Spinny,eCommerce,Gurgaon,"Blume Ventures, Indian Angel Network, Kunal Shah, Sandeep Tandon",Private Equity,1000000.00
Healthbuds,Consumer Internet,Kolkata,"Arun Patodia, Bharat Kedia",Seed Funding,0.00
Ftcash,Consumer Internet,Mumbai,"500 Startups, IvyCap Ventures",Private Equity,0.00
BHIVE Workspace,Consumer Internet,Bangalore,Blume Ventures,Private Equity,1200000.00
wayForward,Consumer Internet,New Delhi,"Harsh Mahajan, Farhan Naqvi, Sreepathy Viswanathan",Seed Funding,1000000.00
GyanDhan,Consumer Internet,New Delhi,Sundaram Finance Holdings,Private Equity,0.00
Hungry Foal,Consumer Internet,Gurgaon,SBI (Stand Up India Scheme),Private Equity,0.00
ZipLoan,Consumer Internet,New Delhi,WaterBridge Ventures,Seed Funding,650000.00
GrowFitter,Consumer Internet,Mumbai,SQue Capital,Seed Funding,600000.00
Stratfit,Consumer Internet,Hyderabad,Bodhtree Consulting Limited,Seed Funding,232000.00
Multiplier Solutions,Technology,Hyderabad,Norwest Venture Partners,Private Equity,1500000.00
ABI Health,Technology,Bangalore,Norwest Venture Partners,Private Equity,1500000.00
Stockal,Consumer Internet,Bangalore,"Mohan Alexander, R. Natarajan, Vikrant Varshney, Amit Sinha",Seed Funding,350000.00
Guidoo,Consumer Internet,Mumbai,"Pawan Borle, Nirmal Singh, Manish Prasad, Vineet Varma, Nick Haulkoury, Abhai S. Rao",Seed Funding,300000.00
eSahai.in,Consumer Internet,Hyderabad,"Dr Ramesh Ayyala, Satya Muthyala",Seed Funding,250000.00
Loanmeet,Consumer Internet,Bangalore,"Cao Yibin, Huang Wei, Madhusudan E,",Seed Funding,0.00
LendingKart,Consumer Internet,Ahmedabad,Yes Bank,Debt Funding,7800000.00
Boxx.ai,Technology,Bangalore,"Unicorn India Ventures, Venky Krishnakumar, Suresh Shankar, Vivek Bhargava",Private Equity,500000.00
PeeSafe.in,Healthcare,New Delhi,"Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures",Private Equity,1000000.00
Vista Rooms,Consumer Internet,Mumbai,"Artha India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham",Seed Funding,776000.00
CoverFox,Consumer Internet,Mumbai,Transamerica,Private Equity,15000000.00
HyperTrack,Technology,New Delhi,"Nexus Venture Partners, Founders Fund",Private Equity,0.00
Goodera,Technology,Bangalore,"Nexus Venture Partners, Omidyar Network",Private Equity,5500000.00
Digit,Technology,Bangalore,Fairfax Holdings,Private Equity,0.00
Ola,Consumer Internet,Bangalore,Tekne Capital Management LLC,Private Equity,50000000.00
Vanitycask,Consumer Internet,Mumbai,RB Investments,Seed Funding,0.00
MrNeeds,Consumer Internet,Noida,undisclosed investors,Seed Funding,500000.00
MoneyTap,Consumer Internet,Bangalore,"Sequoia India, NEA, Prime Venture Partners",Private Equity,12300000.00
Goodbox,eCommerce,Bangalore,"Nexus Venture Partners, Mekin Maheshwari",Private Equity,1000000.00
Fincash,Consumer Internet,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed Funding,100000.00
PortDesk,Technology,Noida,Alphard Maritime Group,Seed Funding,2000000.00
EdgeFx,eCommerce,Hyderabad,"Cross Border Angels & Experts, Rajasthan Angel Innovators Network, The Chennai Angels",Seed Funding,0.00
EazyDiner,Consumer Internet,Gurgaon,YouWeCan Ventures,Seed Funding,0.00
HealthIntel,Healthcare,New Delhi,BLIP Initiatives,Seed Funding,0.00
Unbxd,Technology,Bangalore,Eight Roads Ventures,Private Equity,12500000.00
DarwinBox,Technology,Hyderabad,"Lightspeed India Partners, Endiya Partners, 3one4 Capital Advisors LLP, Startupxseed Ventures LLP",Private Equity,4000000.00
ForeverShop,Consumer Internet,Bangalore,91maker.com,Seed Funding,300000.00
Insider.in,Consumer Internet,Mumbai,Paytm,Private Equity,5200000.00
Fynd,eCommerce,Mumbai,"IIFL Seed Ventures, Kae Capital, FJ Labs, Singularity Ventures, GrowX, Tracxn Labs, Axis Capital",Private Equity,2400000.00
Grow Fit,Consumer Internet,Bangalore,"Manipal Education and Medical Group (MEMG), SAR Group, The Grover Trust",Private Equity,4500000.00
Fabulyst,Technology,Hyderabad,iBhubs,Seed Funding,215000.00
mSwipe,Technology,Mumbai,"UC-RNT Fund, Matrix Partners, alcon Edge Capital, DSG Consumer Partners",Private Equity,31000000.00
OneAssist,Consumer Internet,Mumbai,Sequoia Capital,Private Equity,0.00
Julia Computing,Technology,Bangalore,"General Catalyst, Founder Collective",Private Equity,4600000.00
Kissht,Consumer Internet,Mumbai,"Endiya Partners, Ventureast",Private Equity,2000000.00
Explore Life traveling,Consumer Internet,Bangalore,"Mekin Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere",Seed Funding,500000.00
Loantap,Consumer Internet,Mumbai,"Kae Capital, India Quotient, IFMR, and MAS Financial Services Ltd",Private Equity,4000000.00
Voxweb,Consumer Internet,Mumbai,Undisclosed investors,Seed Funding,1000000.00
HUG Innovations,Technology,Hyderabad,"Mohit Srivastav, Kishore Ganji, Venkat Vallabhaneni, Rajeev Menon",Private Equity,5000000.00
Flipkart,eCommerce,Bangalore,Naspers,Private Equity,71000000.00
V Resorts,Consumer Internet,Noida,"Seedfund, RB International",Private Equity,4000000.00
Stashfin,Consumer Internet,New Delhi,"Snow Leopard Ventures, Alto Partners",Private Equity,5000000.00
Formcept,Consumer Internet,Bangalore,Gujarat Venture Finance Ltd,Private Equity,0.00
Spares Hub,eCommerce,Pune,"The Chennai Angels, Anthill Scale Ventures, Esvee Technologies Inc, Inc95 Consulting",Seed Funding,311000.00
FiTraQ,Consumer Internet,New Delhi,"Aparup Sengupta, Devendra Reddy,",Seed Funding,0.00
Rubique,Consumer Internet,Mumbai,"Kalaari Capital, Udayan Goyal",Private Equity,3000000.00
Niki.ai,Consumer Internet,Bangalore,"SAP.iO, Unilazer Ventures",Private Equity,2000000.00
Fitpass,Consumer Internet,New Delhi,"Abhinav Bindra, Gaurav Marya",Private Equity,1000000.00
ZingHR,Technology,Mumbai,Zeta,Private Equity,0.00
Tagos Design,Technology,Bangalore,Undisclosed Investors,Private Equity,5000000.00
UrbanClap,Consumer Internet,Gurgaon,"Vy Capital, SAIF Partners, Accel Partner, Bessemer Venture Partners",Private Equity,21000000.00
Ace2three,Consumer Internet,Hyderabad,Clairvest Group,Private Equity,73700000.00
Power2SME,eCommerce,Gurgaon,International Finance Corporation,Private Equity,10000000.00
Innovapptive,Technology,Hyderabad,Hyderabad Angels,Seed Funding,1500000.00
4tigo,Logistics,Bangalore,"Accel Partners, Nandan Nilekani,",Private Equity,10000000.00
SMECorner,Consumer Internet,Mumbai,Dutch government fund,Private Equity,0.00
ZippServe,Consumer Internet,Bangalore,undisclosed investors,Seed Funding,390000.00
Ola,Consumer Internet,Bangalore,"Falcon Edge Capital, Capital Advisers",Private Equity,104500000.00
Sumeru,Technology,Bangalore,undisclosed investors,Seed Funding,1000000.00
Healthians,Consumer Internet,New Delhi,"Asuka Holdings, YouWeCan Ventures, Beenext, Beenos, M&S Partners",Private Equity,0.00
HealthMir,Consumer Internet,New Delhi,Nimit Panigrahi,Seed Funding,0.00
Uactive,Consumer Internet,Mumbai,Hinduja family,Seed Funding,0.00
i-lend,Consumer Internet,Hyderabad,50K Ventures,Seed Funding,0.00
Good Methods Global,Technology,Trivandrum,Accel Partners,Private Equity,0.00
Balance App,Consumer Internet,Bangalore,Rainmatter,Seed Funding,233000.00
YepMe,eCommerce,Gurgaon,"Rainbow Digital Services Pvt. Ltd, ILearnFinance Academy Pvt. Ltd.",Private Equity,700000.00
Nightstay,Consumer Internet,New Delhi,"Indian Angels Network, LetsVenture",Seed Funding,0.00
Devourin,Technology,Pune,Deepak Nathani,Seed Funding,0.00
MyGreens,Food & Beverage,New Delhi,"Ajay Relan, LetsVenture",Seed Funding,1000000.00
Ace Turtle,Technology,Bangalore,"Vertex Ventures, C31 Ventures",Private Equity,5000000.00
CureFit,Technology,Bangalore,"Trifecta Capital Advisors LLP, Prathithi Investment Trust, RNT Capital, Gokul Rajaram, Aditya Agarwal, Ruchi Sanghvi & others",Private Equity,3200000.00
Curie Labs,Technology,New Delhi,Satoshi Studios,Seed Funding,50000.00
Uncanny Vision,Technology,Bangalore,Anand Chandrasekaran,Seed Funding,0.00
Anchanto,Technology,Pune,Luxasia Group,Private Equity,0.00
Sequretek,Technology,Mumbai,"GVFL, Unicorn India Ventures",Private Equity,0.00
Lucideus,Technology,New Delhi,"Vellayan Subbiah, Jonathan Boutelle, Rajan Anandan, Rahul Chawla, Salil Donde, Amit Ranjan, Govind Rajan & Others",Seed Funding,0.00
Vidooly,Consumer Internet,Noida,"Times Internet, GVFL",Private Equity,1400000.00
Shopclues,eCommerce,Gurgaon,InnoVen Capital,Private Equity,7700000.00
Fourth Ambit,Consumer Internet,Bangalore,1Crowd,Seed Funding,600000.00
Chymera VR,Technology,Bangalore,"Varsha Rao, Surojit Chatterjee, Nirav Choksi & Others",Seed Funding,0.00
Early Salary,Consumer Internet,Pune,"DG Ventures India, Dewan Housing Finance Corp",Private Equity,4000000.00
Book My Diamond,eCommerce,Mumbai,Chirag Nikunj Sheth & Others,Seed Funding,0.00
ION Energy,Technology,Mumbai,"Aakrit Vaish, Swapan Rajdev, Sushill Jiwarajka",Seed Funding,0.00
Legal Raasta,Consumer Internet,New Delhi,Impanix Capital,Private Equity,5000000.00
Log 9 Materials,Technology,Bangalore,GEMs,Seed Funding,0.00
Remit Guru,Consumer Internet,Mumbai,"Infibeam, CCavenue",Private Equity,466000.00
Aequm,eCommerce,Bangalore,undisclosed investors,Seed Funding,1000000.00
Zapty,Technology,Bangalore,IdeaSpring Capital,Seed Funding,500000.00
Vernacular.ai,Technology,Bangalore,Kstart Capital,Seed Funding,0.00
Niki.ai,Technology,Bangalore,SAP,Private Equity,0.00
Telr,Technology,Mumbai,Innovations East,Private Equity,3000000.00
Fynd,eCommerce,Mumbai,Rocketship,Private Equity,500000.00
Genie,Consumer Internet,Chennai,undisclosed investors,Seed Funding,250000.00
Paysense,Consumer Internet,Mumbai,Jungle Ventures,Private Equity,5300000.00
The Good Life,ECommerce,Mumbai,"Ayesha Takia Azmi, Abu Farhan Azmi",Seed Funding,1000000.00
PumpKart,eCommerce,Chandigarh,Dr. Ritesh Malik,Seed Funding,0.00
Paytm,ECommerce,Bangalore,SoftBank Group,Private Equity,1400000000.00
EzCred,Consumer Internet,Bangalore,"Dheeraj Pandey, Rajesh Yohannan, Akash Garg",Seed Funding,1000000.00
HealthSutra,Food & Beverage,Hyderabad,"Ankur Capital, Hyderabad Angels",Seed Funding,0.00
YepMe,eCommerce,New Delhi,Gokaldas Exports Ltd,Private Equity,0.00
Delhivery,Logistics,New Delhi,Fosun International,Private Equity,30000000.00
ZipGrid,Consumer Internet,Mumbai,"JLL, 1Crowd",Seed Funding,500000.00
TravelSpice,ECommerce,Hyderabad,Eagle10 Ventures,Seed Funding,0.00
Magicpin,Consumer Internet,Gurgaon,"Lightspeed Venture Partners, Vy Capital,",Private Equity,6600000.00
The Print,Consumer Internet,New Delhi,"Ratan Tata, Nandan Nilekani, Uday Kotak, Vijay Shekhar Sharma, Kiran Mazumdar-Shaw, Rajiv C Mody",Seed Funding,0.00
Box8,Consumer Internet,Mumbai,Trifecta Capital,Private Equity,1000000.00
GenNext Students,Consumer Internet,Mumbai,Undisclosed Investors,Seed Funding,580000.00
Aye Finance,Finance,Gurgaon,Blue Orchard,Private Equity,8000000.00
WhatsLoan,Consumer Internet,Bangalore,PayU & Others,Seed Funding,0.00
Cube Consumer Services,Consumer Internet,Mumbai,PayU & Others,Seed Funding,0.00
Nivesh,Consumer Internet,Noida,"PV Sahad, Sandeep Shroff, Rahul Gupta",Seed Funding,0.00
Wowflux,Technology,New Delhi,Undisclosed Investors,Seed Funding,0.00
Collateral Medical,eCommerce,Mumbai,Carpediem Capital,Private Equity,3500000.00
Loadshare,Logistics,Bangalore,Matrix Partners,Seed Funding,0.00
SimpliLend,Consumer Internet,New Delhi,Undisclosed Investors,Seed Funding,0.00
Supr Daily,Consumer Internet,Mumbai,"Soma Capital, Great Oaks Ventures, 122 West Ventures",Private Equity,1500000.00
Swiggy,Consumer Internet,Bangalore,"Nasper, Accel India, SAIF Partners, Bessemer Venture Partners, Harmony Partners, Norwest Venture Partners",Private Equity,80000000.00
SastaSundar,eCommerce,Kolkata,Rohto Pharmaceutical,Private Equity,5000000.00
Magicpin,Consumer Internet,Gurgaon,"Lightspeed India Partners, Waterbridge Ventures",Private Equity,7000000.00
Cashe,Consumer Internet,Mumbai,"Mathew Cyriac, Florintree Advisors,",Private Equity,3800000.00
Eruditus,Education,Mumbai,Bertelsmann India,Private Equity,8200000.00
TestBook,Consumer Internet,Mumbai,Matrix Partners India,Private Equity,0.00
Healthcare at Home,Healthcare,Noida,Quadria Capital Advisors,Private Equity,40000000.00
Tyre Express,Technology,Mumbai,Rohitash Gupta,Seed Funding,0.00
SmartCoin,Consumer Internet,Bangalore,Unicorn India Ventures & Others,Private Equity,0.00
WayCool,Food & Beverage,Chennai,Aspada Investments,Private Equity,2700000.00
Perfios,Technology,Bangalore,Bessemer Venture Partners,Private Equity,6100000.00
Whatfix,Technology,Bangalore,"Stellaris Venture Partners, Helion Venture Partners, Powerhouse Ventures, Gokul Rajaram, Girish Mathrubootham, Aneesh Reddy, Vispi Daver",Private Equity,3690000.00
ElastiRun,Technology,Pune,"Kalaari Capital, Norwest Venture Partners",Private Equity,7000000.00
Trukky,Consumer Internet,Ahmedabad,"Keyur Joshi, Pavan Bakeri",Seed Funding,500000.00
Konsult App,Consumer Internet,New Delhi,"Koen Bouwers, Lomesh Agarwal, Jeroen Mensen, Pablo van den Bosch & Others",Seed Funding,500000.00
Credit Sudhaar,Consumer Internet,Mumbai,"Deepak Kulkarni, Sandeep Pangal",Seed Funding,0.00
Fingerlix,Consumer Internet,Mumbai,Zephyr Peacock India,Private Equity,3000000.00
DataWeave,Technology,Bangalore,"FreakOut Group, Blume Ventures, Herb Madan, WaterBridge Ventures",Private Equity,0.00
Medwell Ventures,Healthcare,Bangalore,"Mahindra Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,21000000.00
Mech Mocha,Consumer Internet,Bangalore,"Accel Partners, Shunwei Capital",Private Equity,5000000.00
Startup Buddy,Consumer Internet,Gurgaon,"YouWeCan Ventures,",Seed Funding,0.00
QorQI,Healthcare,Noida,Paytm,Seed Funding,0.00
